Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 1061.11, Los Angeles County, California",106111,Sylmar,1400000US06037106111,"(34.3231945, -118.4087995)",Part_I_Violent_Crimes_2014_1400000US06037106111,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 1066.03, Los Angeles County, California",106603,Granada Hills,1400000US06037106603,"(34.3189225, -118.5218285)",Part_I_Violent_Crimes_2013_1400000US06037106603,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0,"Census Tract 1066.41, Los Angeles County, California",106641,Granada Hills,1400000US06037106641,"(34.298025, -118.509153)",Part_I_Violent_Crimes_2012_1400000US06037106641,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2016,0,"Census Tract 1066.41, Los Angeles County, California",106641,Granada Hills,1400000US06037106641,"(34.298025, -118.509153)",Part_I_Violent_Crimes_2016_1400000US06037106641,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0,"Census Tract 1081.01, Los Angeles County, California",108101,Porter Ranch,1400000US06037108101,"(34.280038, -118.5413715)",Part_I_Violent_Crimes_2012_1400000US06037108101,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 1081.01, Los Angeles County, California",108101,Porter Ranch,1400000US06037108101,"(34.280038, -118.5413715)",Part_I_Violent_Crimes_2014_1400000US06037108101,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2015,0,"Census Tract 1081.04, Los Angeles County, California",108104,Porter Ranch,1400000US06037108104,"(34.2939525, -118.5470515)",Part_I_Violent_Crimes_2015_1400000US06037108104,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0,"Census Tract 1094, Los Angeles County, California",109400,Mission Hills,1400000US06037109400,"(34.269881, -118.4552825)",Part_I_Violent_Crimes_2012_1400000US06037109400,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2013,10.481181,"Census Tract 5022, Los Angeles County, California",502200,West Whittier-Los Nietos,1400000US06037502200,"(33.9780945, -118.071607)",Part_I_Property_Crimes_2013_1400000US06037502200,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2012,17.336325,"Census Tract 9010.11, Los Angeles County, California",901011,Lancaster,1400000US06037901011,"(34.6675775, -118.1745715)",Part_I_Property_Crimes_2012_1400000US06037901011,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2013,11.588785,"Census Tract 5545.18, Los Angeles County, California",554518,Cerritos,1400000US06037554518,"(33.8660225, -118.037583)",Part_I_Property_Crimes_2013_1400000US06037554518,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2012,20.95155,"Census Tract 1864.04, Los Angeles County, California",186404,Glassell Park,1400000US06037186404,"(34.1070285, -118.235004)",Part_I_Property_Crimes_2012_1400000US06037186404,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2014,70.418915,"Census Tract 2073.02, Los Angeles County, California",207302,Downtown,1400000US06037207302,"(34.0474815, -118.2478185)",Part_I_Property_Crimes_2014_1400000US06037207302,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2012,10.348584,"Census Tract 1375.04, Los Angeles County, California",137504,Woodland Hills,1400000US06037137504,"(34.14705, -118.571596)",Part_I_Property_Crimes_2012_1400000US06037137504,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2013,15.186378,"Census Tract 1061.11, Los Angeles County, California",106111,Sylmar,1400000US06037106111,"(34.3231945, -118.4087995)",Part_I_Property_Crimes_2013_1400000US06037106111,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2012,38.648411,"Census Tract 1905.10, Los Angeles County, California",190510,Hollywood,1400000US06037190510,"(34.0999045, -118.3118915)",Part_I_Property_Crimes_2012_1400000US06037190510,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2016,16.429699,"Census Tract 1070.10, Los Angeles County, California",107010,Sylmar,1400000US06037107010,"(34.302027, -118.446501)",Part_I_Property_Crimes_2016_1400000US06037107010,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2015,2.8561227,"Census Tract 2161, Los Angeles County, California",216100,Mid-Wilshire,1400000US06037216100,"(34.0568595, -118.3378575)",Part_I_Violent_Crimes_2015_1400000US06037216100,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2014,12.038524,"Census Tract 1899.05, Los Angeles County, California",189905,Hollywood,1400000US06037189905,"(34.100732, -118.3514465)",Part_I_Property_Crimes_2014_1400000US06037189905,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2013,20.752628,"Census Tract 2323, Los Angeles County, California",232300,Vermont Square,1400000US06037232300,"(33.9975775, -118.29803)",Part_I_Property_Crimes_2013_1400000US06037232300,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2016,3.7429819,"Census Tract 1312, Los Angeles County, California",131200,Lake Balboa,1400000US06037131200,"(34.2147545, -118.514238)",Part_I_Violent_Crimes_2016_1400000US06037131200,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2014,12.489818,"Census Tract 1943, Los Angeles County, California",194300,Hollywood Hills West,1400000US06037194300,"(34.102775, -118.3877725)",Part_I_Property_Crimes_2014_1400000US06037194300,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2014,4.710145,"Census Tract 1853.20, Los Angeles County, California",185320,Cypress Park,1400000US06037185320,"(34.0883995, -118.2247575)",Part_I_Violent_Crimes_2014_1400000US06037185320,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2016,10.821717,"Census Tract 2400.20, Los Angeles County, California",240020,Green Meadows,1400000US06037240020,"(33.954224, -118.263804)",Part_I_Violent_Crimes_2016_1400000US06037240020,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2014,13.811189,"Census Tract 2380, Los Angeles County, California",238000,Gramercy Park,1400000US06037238000,"(33.945472, -118.3089905)",Part_I_Violent_Crimes_2014_1400000US06037238000,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2012,15.822784,"Census Tract 2764, Los Angeles County, California",276400,Westchester,1400000US06037276400,"(33.967988, -118.4089775)",Part_I_Property_Crimes_2012_1400000US06037276400,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2012,5.5917988,"Census Tract 9102.05, Los Angeles County, California",910205,Southeast Antelope Valley,1400000US06037910205,"(34.530174, -118.1365825)",Part_I_Violent_Crimes_2012_1400000US06037910205,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2012,33.80526,"Census Tract 1873, Los Angeles County, California",187300,Silver Lake,1400000US06037187300,"(34.101596, -118.257665)",Part_I_Property_Crimes_2012_1400000US06037187300,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0,"Census Tract 1241.05, Los Angeles County, California",124105,North Hollywood,1400000US06037124105,"(34.181229, -118.383405)",Part_I_Violent_Crimes_2012_1400000US06037124105,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0,"Census Tract 1282.20, Los Angeles County, California",128220,Valley Glen,1400000US06037128220,"(34.1832715, -118.4356135)",Part_I_Violent_Crimes_2012_1400000US06037128220,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 1282.20, Los Angeles County, California",128220,Valley Glen,1400000US06037128220,"(34.1832715, -118.4356135)",Part_I_Violent_Crimes_2013_1400000US06037128220,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 1341.04, Los Angeles County, California",134104,Winnetka,1400000US06037134104,"(34.211953, -118.575385)",Part_I_Violent_Crimes_2014_1400000US06037134104,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2016,0,"Census Tract 1344.23, Los Angeles County, California",134423,West Hills,1400000US06037134423,"(34.2137705, -118.63362)",Part_I_Violent_Crimes_2016_1400000US06037134423,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2012,20.73255,"Census Tract 1251, Los Angeles County, California",125100,Valley Village,1400000US06037125100,"(34.1648815, -118.39212)",Part_I_Property_Crimes_2012_1400000US06037125100,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2015,47.700169,"Census Tract 1919.01, Los Angeles County, California",191901,Hollywood,1400000US06037191901,"(34.0907325, -118.3386055)",Part_I_Property_Crimes_2015_1400000US06037191901,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2014,42.978722,"Census Tract 2071.02, Los Angeles County, California",207102,Chinatown,1400000US06037207102,"(34.058835, -118.239167)",Part_I_Property_Crimes_2014_1400000US06037207102,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0.90909094,"Census Tract 1081.03, Los Angeles County, California",108103,Porter Ranch,1400000US06037108103,"(34.2860705, -118.542893)",Part_I_Violent_Crimes_2013_1400000US06037108103,01/01/2013
Public Safety,Part I Crimes,Part I Property Crimes,2014,9.2868986,"Census Tract 1832.21, Los Angeles County, California",183221,Highland Park,1400000US06037183221,"(34.125332, -118.1907195)",Part_I_Property_Crimes_2014_1400000US06037183221,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2014,34.265736,"Census Tract 2380, Los Angeles County, California",238000,Gramercy Park,1400000US06037238000,"(33.945472, -118.3089905)",Part_I_Property_Crimes_2014_1400000US06037238000,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0.47619048,"Census Tract 1132.31, Los Angeles County, California",113231,Chatsworth Reservoir,1400000US06037113231,"(34.2282065, -118.645614)",Part_I_Violent_Crimes_2012_1400000US06037113231,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2013,17.190153,"Census Tract 1288.02, Los Angeles County, California",128802,Sherman Oaks,1400000US06037128802,"(34.1684825, -118.455251)",Part_I_Property_Crimes_2013_1400000US06037128802,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2012,9.0645399,"Census Tract 2095.10, Los Angeles County, California",209510,Westlake,1400000US06037209510,"(34.0530605, -118.281509)",Part_I_Violent_Crimes_2012_1400000US06037209510,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2012,20.749279,"Census Tract 2933.02, Los Angeles County, California",293302,Harbor City,1400000US06037293302,"(33.802382, -118.304171)",Part_I_Property_Crimes_2012_1400000US06037293302,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 1373.01, Los Angeles County, California",137301,Woodland Hills,1400000US06037137301,"(34.1767335, -118.6309385)",Part_I_Violent_Crimes_2013_1400000US06037137301,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2016,0,"Census Tract 1373.01, Los Angeles County, California",137301,Woodland Hills,1400000US06037137301,"(34.1767335, -118.6309385)",Part_I_Violent_Crimes_2016_1400000US06037137301,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 1375.04, Los Angeles County, California",137504,Woodland Hills,1400000US06037137504,"(34.14705, -118.571596)",Part_I_Violent_Crimes_2014_1400000US06037137504,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2015,0,"Census Tract 1398.01, Los Angeles County, California",139801,Tarzana,1400000US06037139801,"(34.153124, -118.5451245)",Part_I_Violent_Crimes_2015_1400000US06037139801,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 1398.02, Los Angeles County, California",139802,Tarzana,1400000US06037139802,"(34.1453435, -118.5545195)",Part_I_Violent_Crimes_2013_1400000US06037139802,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2015,0,"Census Tract 1413.03, Los Angeles County, California",141303,Sherman Oaks,1400000US06037141303,"(34.1550215, -118.4552015)",Part_I_Violent_Crimes_2015_1400000US06037141303,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2015,0,"Census Tract 1415, Los Angeles County, California",141500,Encino,1400000US06037141500,"(34.138146, -118.4788925)",Part_I_Violent_Crimes_2015_1400000US06037141500,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 1417, Los Angeles County, California",141700,Sherman Oaks,1400000US06037141700,"(34.1379545, -118.4378355)",Part_I_Violent_Crimes_2014_1400000US06037141700,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2015,0,"Census Tract 1436.03, Los Angeles County, California",143603,Studio City,1400000US06037143603,"(34.1438535, -118.3703245)",Part_I_Violent_Crimes_2015_1400000US06037143603,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 1852.04, Los Angeles County, California",185204,Mount Washington,1400000US06037185204,"(34.102575, -118.222414)",Part_I_Violent_Crimes_2014_1400000US06037185204,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0,"Census Tract 1892.02, Los Angeles County, California",189202,Los Feliz,1400000US06037189202,"(34.111557, -118.295845)",Part_I_Violent_Crimes_2012_1400000US06037189202,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2015,0,"Census Tract 1899.03, Los Angeles County, California",189903,Hollywood,1400000US06037189903,"(34.1026455, -118.34759)",Part_I_Property_Crimes_2015_1400000US06037189903,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2016,0,"Census Tract 1899.03, Los Angeles County, California",189903,Hollywood,1400000US06037189903,"(34.1026455, -118.34759)",Part_I_Violent_Crimes_2016_1400000US06037189903,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2016,0,"Census Tract 1899.03, Los Angeles County, California",189903,Hollywood,1400000US06037189903,"(34.1026455, -118.34759)",Part_I_Property_Crimes_2016_1400000US06037189903,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2015,0,"Census Tract 1952.02, Los Angeles County, California",195202,Los Feliz,1400000US06037195202,"(34.102058, -118.279132)",Part_I_Violent_Crimes_2015_1400000US06037195202,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 1959.02, Los Angeles County, California",195902,Silver Lake,1400000US06037195902,"(34.08661, -118.279689)",Part_I_Violent_Crimes_2014_1400000US06037195902,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 1959.03, Los Angeles County, California",195903,Silver Lake,1400000US06037195903,"(34.080591, -118.2818)",Part_I_Violent_Crimes_2014_1400000US06037195903,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 1972, Los Angeles County, California",197200,Elysian Valley,1400000US06037197200,"(34.0898635, -118.2358515)",Part_I_Violent_Crimes_2014_1400000US06037197200,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2015,0,"Census Tract 2013.02, Los Angeles County, California",201302,Montecito Heights,1400000US06037201302,"(34.098103, -118.1841585)",Part_I_Violent_Crimes_2015_1400000US06037201302,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2015,0,"Census Tract 2016.01, Los Angeles County, California",201601,El Sereno,1400000US06037201601,"(34.071752, -118.17646)",Part_I_Violent_Crimes_2015_1400000US06037201601,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 2611.01, Los Angeles County, California",261101,Beverly Hills,1400000US06037261101,"(34.110602, -118.395214)",Part_I_Violent_Crimes_2014_1400000US06037261101,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 2623.01, Los Angeles County, California",262301,Brentwood,1400000US06037262301,"(34.10129, -118.494583)",Part_I_Violent_Crimes_2013_1400000US06037262301,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 2623.03, Los Angeles County, California",262303,Brentwood,1400000US06037262303,"(34.0673175, -118.486919)",Part_I_Violent_Crimes_2013_1400000US06037262303,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 2624, Los Angeles County, California",262400,Brentwood,1400000US06037262400,"(34.0876735, -118.5072195)",Part_I_Violent_Crimes_2014_1400000US06037262400,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2015,0,"Census Tract 2624, Los Angeles County, California",262400,Brentwood,1400000US06037262400,"(34.0876735, -118.5072195)",Part_I_Violent_Crimes_2015_1400000US06037262400,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 2627.06, Los Angeles County, California",262706,Pacific Palisades,1400000US06037262706,"(34.03867557, -118.5269907)",Part_I_Violent_Crimes_2014_1400000US06037262706,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 2628.02, Los Angeles County, California",262802,Pacific Palisades,1400000US06037262802,"(34.0430379, -118.5061199)",Part_I_Violent_Crimes_2013_1400000US06037262802,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0,"Census Tract 2641.02, Los Angeles County, California",264102,Brentwood,1400000US06037264102,"(34.059953, -118.4686465)",Part_I_Violent_Crimes_2012_1400000US06037264102,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 2641.02, Los Angeles County, California",264102,Brentwood,1400000US06037264102,"(34.059953, -118.4686465)",Part_I_Violent_Crimes_2013_1400000US06037264102,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 2641.02, Los Angeles County, California",264102,Brentwood,1400000US06037264102,"(34.059953, -118.4686465)",Part_I_Violent_Crimes_2014_1400000US06037264102,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 2653.03, Los Angeles County, California",265303,Westwood,1400000US06037265303,"(34.067264, -118.4533525)",Part_I_Violent_Crimes_2013_1400000US06037265303,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 2654.10, Los Angeles County, California",265410,Brentwood,1400000US06037265410,"(34.06678, -118.4636105)",Part_I_Violent_Crimes_2014_1400000US06037265410,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2015,0,"Census Tract 2654.10, Los Angeles County, California",265410,Brentwood,1400000US06037265410,"(34.06678, -118.4636105)",Part_I_Violent_Crimes_2015_1400000US06037265410,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0,"Census Tract 2656.01, Los Angeles County, California",265601,Westwood,1400000US06037265601,"(34.0558665, -118.433093)",Part_I_Violent_Crimes_2012_1400000US06037265601,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 2656.02, Los Angeles County, California",265602,Westwood,1400000US06037265602,"(34.060621, -118.434347)",Part_I_Violent_Crimes_2013_1400000US06037265602,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 2674.03, Los Angeles County, California",267403,Sawtelle,1400000US06037267403,"(34.047607, -118.4565715)",Part_I_Violent_Crimes_2013_1400000US06037267403,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 2674.03, Los Angeles County, California",267403,Sawtelle,1400000US06037267403,"(34.047607, -118.4565715)",Part_I_Violent_Crimes_2014_1400000US06037267403,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 2693, Los Angeles County, California",269300,Cheviot Hills,1400000US06037269300,"(34.0402885, -118.414036)",Part_I_Violent_Crimes_2013_1400000US06037269300,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 2699.06, Los Angeles County, California",269906,Palms,1400000US06037269906,"(34.025156, -118.403135)",Part_I_Violent_Crimes_2013_1400000US06037269906,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2014,0,"Census Tract 2699.06, Los Angeles County, California",269906,Palms,1400000US06037269906,"(34.025156, -118.403135)",Part_I_Violent_Crimes_2014_1400000US06037269906,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0,"Census Tract 2719.01, Los Angeles County, California",271901,Mar Vista,1400000US06037271901,"(34.0137065, -118.424224)",Part_I_Violent_Crimes_2012_1400000US06037271901,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2013,0,"Census Tract 2766.03, Los Angeles County, California",276603,Playa del Rey,1400000US06037276603,"(33.9562775, -118.437016)",Part_I_Violent_Crimes_2013_1400000US06037276603,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0,"Census Tract 2933.01, Los Angeles County, California",293301,Harbor City,1400000US06037293301,"(33.8102215, -118.303639)",Part_I_Violent_Crimes_2012_1400000US06037293301,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2012,0,"Census Tract 2964.01, Los Angeles County, California",296401,San Pedro,1400000US06037296401,"(33.7417575, -118.3143515)",Part_I_Violent_Crimes_2012_1400000US06037296401,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2015,0,"Census Tract 2973, Los Angeles County, California",297300,San Pedro,1400000US06037297300,"(33.72072214, -118.3123083)",Part_I_Violent_Crimes_2015_1400000US06037297300,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2012,6.3164892,"Census Tract 1394.01, Los Angeles County, California",139401,Tarzana,1400000US06037139401,"(34.169524, -118.5377675)",Part_I_Violent_Crimes_2012_1400000US06037139401,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2014,8.3314571,"Census Tract 5328, Los Angeles County, California",532800,Florence-Firestone,1400000US06037532800,"(33.9862165, -118.252074)",Part_I_Violent_Crimes_2014_1400000US06037532800,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2014,11.966552,"Census Tract 5527, Los Angeles County, California",552700,Norwalk,1400000US06037552700,"(33.898588, -118.073231)",Part_I_Property_Crimes_2014_1400000US06037552700,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2015,32.834454,"Census Tract 2405, Los Angeles County, California",240500,Broadway-Manchester,1400000US06037240500,"(33.9469185, -118.275892)",Part_I_Property_Crimes_2015_1400000US06037240500,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2015,27.777779,"Census Tract 5307, Los Angeles County, California",530700,East Los Angeles,1400000US06037530700,"(34.058801, -118.1809405)",Part_I_Property_Crimes_2015_1400000US06037530700,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2014,2.2452989,"Census Tract 5990, Los Angeles County, California",599000,Avalon,1400000US06037599000,"(33.343563, -118.3300478)",Part_I_Violent_Crimes_2014_1400000US06037599000,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2015,7.8657579,"Census Tract 2340, Los Angeles County, California",234000,Leimert Park,1400000US06037234000,"(34.011672, -118.322292)",Part_I_Violent_Crimes_2015_1400000US06037234000,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2012,16.713093,"Census Tract 1320.02, Los Angeles County, California",132002,Lake Balboa,1400000US06037132002,"(34.193829, -118.5098475)",Part_I_Property_Crimes_2012_1400000US06037132002,01/01/2012
Public Safety,Part I Crimes,Part I Property Crimes,2012,20.337517,"Census Tract 2717.02, Los Angeles County, California",271702,Palms,1400000US06037271702,"(34.025252, -118.426283)",Part_I_Property_Crimes_2012_1400000US06037271702,01/01/2012
Public Safety,Part I Crimes,Part I Violent Crimes,2015,2.4832382,"Census Tract 2766.01, Los Angeles County, California",276601,Westchester,1400000US06037276601,"(33.9657265, -118.432256)",Part_I_Violent_Crimes_2015_1400000US06037276601,01/01/2015
Public Safety,Part I Crimes,Part I Violent Crimes,2016,1.4885875,"Census Tract 4081.38, Los Angeles County, California",408138,South San Jose Hills,1400000US06037408138,"(34.019139, -117.9167095)",Part_I_Violent_Crimes_2016_1400000US06037408138,01/01/2016
Public Safety,Part I Crimes,Part I Violent Crimes,2014,7.2370119,"Census Tract 5330.01, Los Angeles County, California",533001,Florence-Firestone,1400000US06037533001,"(33.980225, -118.2455)",Part_I_Violent_Crimes_2014_1400000US06037533001,01/01/2014
Public Safety,Part I Crimes,Part I Property Crimes,2016,34.025631,"Census Tract 1174.04, Los Angeles County, California",117404,North Hills,1400000US06037117404,"(34.228481, -118.479066)",Part_I_Property_Crimes_2016_1400000US06037117404,01/01/2016
Public Safety,Part I Crimes,Part I Property Crimes,2013,18.284637,"Census Tract 5420, Los Angeles County, California",542000,Compton,1400000US06037542000,"(33.9059635, -118.202869)",Part_I_Property_Crimes_2013_1400000US06037542000,01/01/2013
Public Safety,Part I Crimes,Part I Violent Crimes,2015,3.1625555,"Census Tract 1832.21, Los Angeles County, California",183221,Highland Park,1400000US06037183221,"(34.125332, -118.1907195)",Part_I_Violent_Crimes_2015_1400000US06037183221,01/01/2015
Public Safety,Part I Crimes,Part I Property Crimes,2014,14.541765,"Census Tract 2190.10, Los Angeles County, California",219010,Jefferson Park,1400000US06037219010,"(34.027596, -118.322938)",Part_I_Property_Crimes_2014_1400000US06037219010,01/01/2014
Public Safety,Part I Crimes,Part I Violent Crimes,2015,6.8625727,"Census Tract 1915, Los Angeles County, California",191500,East Hollywood,1400000US06037191500,"(34.0872185, -118.296096)",Part_I_Violent_Crimes_2015_1400000US06037191500,01/01/2015
